platform | commercial_name | vendor | year_of_release
PS2 | PlayStation 2 | Sony | 2000
DS | Nintendo DS | Nintendo | 2004
PS3 | PlayStation 3 | Sony | 2006
Wii | Wii | Nintendo | 2006
X360 | Xbox 360 | Microsoft | 2005
PSP | PlayStation Portable | Sony | 2004
PS | PlayStation | Sony | 1994
PC | Personal Computer | Varios | 
XB | Xbox | Microsoft | 2001
GBA | Game Boy Advance | Nintendo | 2001
GC | GameCube | Nintendo | 2001
3DS | Nintendo 3DS | Nintendo | 2011
PSV | PlayStation Vita | Sony | 2011
PS4 | PlayStation 4 | Sony | 2013
N64 | Nintendo 64 | Nintendo | 1996
XOne | Xbox One | Microsoft | 2013
SNES | Super Nintendo Entertainment System | Nintendo | 1990
SAT | Sega Saturn | Sega | 1994
WiiU | Wii U | Nintendo | 2012
NES | Nintendo Entertainment System | Nintendo | 1983
GB | Game Boy | Nintendo | 1989
DC | Dreamcast | Sega | 1998
GEN | Genesis | Sega | 1988
NG | Neo Geo | SNK | 1990
SCD | Sega CD | Sega | 1991
WS | WonderSwan | Bandai | 1999
3DO | 3DO Interactive Multiplayer | The 3DO Company | 1993
TG16 | TurboGrafx-16 | NEC | 1987
PCFX | PC-FX | NEC | 1994
GG | Game Gear | Sega | 1990
2600 | Atari 2600 | Atari | 1977
